model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
DecisionTree,0.9996088357109987,0.0005013450673062969,0.9995814942550059,0.0005309414801590653,0.9996087148030103,0.0005016131260630857
LogisticRegression,0.9983893235158767,0.00088959564377202,0.9982729249941465,0.0009789835468426065,0.9983892642247341,0.0008897407259000795
RandomForest,0.9992406810860561,0.0007797598161600688,0.9991874159096534,0.0008526465398165277,0.9992405859175555,0.0007797692140230984
