popularity,vote_average,vote_count,runtime,release_year,is_drama,is_comedy,is_thriller,is_action,is_romance,is_horror,is_adventure,is_crime
1.0,0.6493506493506493,0.5690273649687405,0.13777777777777778,1.0,0,0,1,1,0,0,1,0
0.861581616372041,0.7272727272727273,0.6328789586963207,0.13333333333333333,1.0,0,0,1,1,0,0,1,0
0.3975190096022828,0.6233766233766234,0.25315158347852823,0.1322222222222222,1.0,0,0,1,0,0,0,1,0
0.3387237402100753,0.7792207792207793,0.5413549246694681,0.1511111111111111,1.0,0,0,0,1,0,0,1,0
0.2829998928626582,0.7532467532467533,0.30101465614430667,0.15222222222222223,1.0,0,0,1,1,0,0,0,1
0.27619955169661714,0.7402597402597404,0.40166034641795634,0.17333333333333334,1.0,1,0,1,0,0,0,1,0
0.26236504075190403,0.5584415584415585,0.2652454647945065,0.1388888888888889,1.0,0,0,1,1,0,0,1,0
0.2324442247667459,0.7922077922077924,0.46756175053807525,0.15666666666666668,1.0,1,0,0,0,0,0,1,0
0.22446394798133423,0.6493506493506493,0.2954801680844522,0.10111111111111111,1.0,0,1,0,0,0,0,1,0
0.19180248967294858,0.8441558441558443,0.40227528953571795,0.10444444444444445,1.0,0,1,0,0,0,0,0,0
0.18796682732013129,0.6103896103896105,0.33247924566977555,0.16444444444444445,1.0,0,0,0,1,0,0,1,1
0.18763598696623005,0.4805194805194806,0.1974992313211028,0.13777777777777778,1.0,0,0,0,1,0,0,1,0
0.185498030085645,0.7922077922077924,0.29148303781900176,0.12,1.0,1,0,0,0,0,0,0,0
0.18144015021298018,0.5584415584415585,0.1603976632161525,0.11666666666666667,1.0,0,1,0,1,0,0,0,0
0.18022544194759801,0.7662337662337664,0.44009429127805677,0.15666666666666668,1.0,0,0,0,1,0,0,1,0
0.17881492154569534,0.7662337662337664,0.24382494619247722,0.18555555555555556,1.0,1,0,0,0,0,0,0,1
0.17430866553134636,0.5974025974025974,0.16070513477503331,0.12111111111111111,1.0,0,0,1,1,0,0,0,1
0.16895561828038325,0.7142857142857144,0.3862867684739162,0.12777777777777777,1.0,0,0,0,1,0,0,1,0
0.16845946385612334,0.6883116883116884,0.15219842164599776,0.12444444444444444,1.0,1,0,0,0,1,0,0,0
